Team,Opp,Date,Number,Round,Game,Location,W/L,Importance,Points,Oppo,Diff,Team FG,Team FGA,Team FG%,Team 3P,Team 3PA,Team 3P%,Team FT,Team FTA,Team FT%,Team ORB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,Team PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Advanced ORtg,Advanced DRtg,Advanced Pace,Advanced FTr,Advanced 3PAr,Advanced TS%,Advanced TRB%,Advanced AST%,Advanced STL%,Advanced BLK%,Offensive Four Factors eFG%,Offensive Four Factors TOV%,Offensive Four Factors ORB%,Offensive Four Factors FT/FGA,Defensive Four Factors eFG%,Defensive Four Factors TOV%,Defensive Four Factors DRB%,Defensive Four Factors FT/FGA
Jazz,CHI,6/10/1998,18,4,4,Away,L,0,82,86,-4,33,78,0.423,2,15,0.133,14,21,0.667,13,40,24,6,1,10,32,27,73,0.37,5,15,0.333,27,40,0.675,17,44,18,7,2,9,19,102.7,107.7,79.9,0.269,0.192,0.47,47.6,72.7,7.5,1.7,0.436,10.3,32.5,0.179,0.404,9,61.4,0.37
Jazz,CHI,6/12/1998,19,4,5,Away,W,1,83,81,2,34,67,0.507,1,5,0.2,14,18,0.778,11,37,24,10,3,16,24,29,75,0.387,7,20,0.35,16,20,0.8,13,33,19,11,5,16,25,103.6,101.1,80.1,0.269,0.075,0.554,52.9,70.6,12.5,5.5,0.515,17.6,35.5,0.209,0.433,16,66.7,0.213
Jazz,CHI,6/14/1998,20,4,6,Home,L,1,86,87,-1,32,64,0.5,2,10,0.2,20,25,0.8,10,33,19,4,0,14,19,34,67,0.507,4,10,0.4,15,19,0.789,5,22,17,11,4,9,23,112.7,114,76.3,0.391,0.156,0.573,60,59.4,5.2,0,0.516,15.7,37,0.313,0.537,10.7,82.1,0.224
Knicks ,TOR,4/23/2000,1,1,1,Home,W,0,92,88,4,35,72,0.486,5,12,0.417,17,21,0.81,5,34,14,10,5,17,24,30,81,0.37,8,16,0.5,20,28,0.714,15,47,23,11,2,15,20,101.9,97.4,90.3,0.292,0.167,0.566,42,40,11.1,7.7,0.521,17.3,13.5,0.236,0.42,13.8,65.9,0.247
Knicks ,TOR,4/26/2000,2,1,2,Home,W,0,84,83,1,27,67,0.403,2,6,0.333,28,38,0.737,11,37,9,5,2,13,28,24,58,0.414,2,10,0.2,33,41,0.805,7,35,13,4,4,13,32,103.2,102,81.4,0.567,0.09,0.502,51.4,33.3,6.1,4.2,0.418,13.4,28.2,0.418,0.431,14.6,78.8,0.569
Knicks ,TOR,4/30/2000,3,1,3,Away,W,1,87,80,7,29,62,0.468,9,16,0.563,20,28,0.714,7,40,13,9,8,17,20,29,83,0.349,3,21,0.143,19,24,0.792,17,46,21,12,7,12,26,103.4,95.1,84.1,0.452,0.258,0.585,46.5,44.8,10.7,12.9,0.54,18.6,19.4,0.323,0.367,11.4,66,0.229
Knicks ,MIA,5/7/2000,4,2,1,Away,L,0,83,87,-4,33,78,0.423,2,10,0.2,15,20,0.75,8,40,14,9,4,12,20,33,71,0.465,3,16,0.188,18,23,0.783,7,41,17,7,3,13,20,95,99.6,87.4,0.256,0.128,0.478,49.4,42.4,10.3,7.3,0.436,12.1,19,0.192,0.486,13.8,82.1,0.254
Knicks ,MIA,5/9/2000,5,2,2,Away,W,0,82,76,6,24,68,0.353,3,10,0.3,31,42,0.738,8,43,10,6,7,11,28,25,74,0.338,7,22,0.318,19,33,0.576,12,50,15,6,7,12,32,94.6,87.6,86.7,0.618,0.147,0.474,46.2,41.7,6.9,13.5,0.375,11.3,17.4,0.456,0.385,11.9,74.5,0.257
Knicks ,MIA,5/12/2000,6,2,3,Home,L,0,76,77,-1,26,64,0.406,4,9,0.444,20,24,0.833,5,34,12,9,10,19,19,31,85,0.365,4,9,0.444,11,14,0.786,16,45,19,11,1,14,26,89.1,90.2,77.3,0.375,0.141,0.51,43,46.2,10.5,13.2,0.438,20.3,14.7,0.313,0.388,13.3,64.4,0.129
Knicks ,MIA,5/14/2000,7,2,4,Home,W,0,91,83,8,33,78,0.423,8,17,0.471,17,22,0.773,13,37,19,9,2,11,21,31,72,0.431,4,15,0.267,17,22,0.773,16,48,21,7,3,17,23,110.9,101.1,82.1,0.282,0.218,0.519,43.5,57.6,11,3.5,0.474,11.1,28.9,0.218,0.458,17.2,60,0.236
