"Month","Year","Dest","Freq","ArrDelay","NDays"
1,2000,"DUT",62,833,31
1,2000,"EGE",297,2564,31
1,2000,"ELM",114,955,31
1,2000,"ELP",2046,12308,31
1,2000,"ERI",119,959,31
1,2004,"ISP",1051,4893,31
1,2004,"ITO",194,-10,31
1,1990,"HOU",4940,30634,31
1,1995,"LSE",120,9,31
1,1995,"MAF",640,4439,31
1,1995,"MBS",330,3756,31
1,1995,"MCI",4939,41752,31
1,1995,"MCO",6639,56238,31
1,1995,"MDT",737,7119,31
1,2000,"FNT",93,979,31
1,2000,"FSD",329,10,31
1,2000,"FWA",31,-118,31
1,2000,"GEG",1031,8198,31
1,2000,"GFK",91,211,31
1,2000,"GPT",93,202,31
1,2000,"GRB",225,2003,31
1,2000,"GRR",771,5454,31
1,2000,"GSO",1271,9953,31
1,2000,"GSP",590,2573,31
1,2000,"GTF",215,-918,31
1,2000,"GUC",62,780,31
1,1995,"AVL",275,1784,31
1,1995,"AVP",217,2278,31
1,1995,"AZO",239,1271,31
1,2001,"BUR",2312,23130,31
1,1988,"BUF",2292,17965,31
1,1988,"BUR",2029,11265,31
1,1988,"BWI",5569,54789,31
1,1990,"ABQ",2715,18746,31
1,1990,"ACY",61,319,31
1,1990,"AGS",267,1940,31
1,1990,"ALB",1105,9568,31
1,1990,"AMA",537,3224,31
1,1992,"SGF",113,715,31
1,1992,"SHV",504,3088,31
1,1992,"SIT",101,530,31
1,1988,"OTZ",75,304,31
1,1988,"PBI",2273,44258,31
1,1988,"PDX",3345,45741,31
1,1988,"PFN",48,480,31
1,1988,"PHF",92,282,31
1,1988,"PHL",7041,83247,31
1,1992,"SPN",166,707,31
1,1992,"SRQ",1074,7121,31
1,1988,"PIA",396,2845,31
1,1988,"PIE",59,1292,31
1,1988,"PIT",9758,75299,31
1,1992,"GUC",48,-41,31
1,1992,"GUM",356,1305,31
1,1992,"HDN",139,281,31
1,1992,"HLN",91,1430,31
1,1992,"HNL",1283,15352,31
1,1992,"HOU",4797,3998,31
1,1992,"HPN",266,1742,31
1,1992,"HRL",518,1463,31
1,1992,"HSV",639,3132,31
1,1992,"HTS",105,183,31
1,1992,"HVN",111,262,31
1,1988,"EUG",343,5258,31
1,1988,"EVV",234,4149,31
1,1988,"EWR",10335,160776,31
1,1988,"EYW",176,2147,31
1,2000,"ABE",515,3278,31
1,2000,"ABQ",3001,18105,31
1,2000,"ADQ",61,568,31
1,2000,"AGS",92,289,31
1,2000,"AKN",18,531,31
1,2000,"ALB",934,6972,31
1,1988,"FLL",3635,63077,31
1,1988,"FNT",90,1994,31
1,1988,"FSD",557,6841,31
1,1992,"KOA",61,397,31
1,1992,"KTN",177,1218,31
1,1993,"ABE",552,2095,31
1,1993,"ABQ",2721,15014,31
1,1990,"CVG",5382,30453,31
1,1992,"LAS",7466,7668,31
1,1992,"LAX",12880,22473,31
1,1992,"LBB",736,1503,31
1,1993,"AGS",285,2135,31
1,1993,"AKN",14,153,31
1,1993,"ALB",1089,4048,31
1,1993,"AMA",466,3960,31
1,1992,"LIT",1332,857,31
1,1992,"LNK",208,1196,31
1,1993,"ATL",17799,194351,31
1,1993,"AUS",2325,13045,31
1,1993,"AVL",205,1316,31
1,1992,"MCI",3997,13848,31
1,1988,"HOU",4568,23610,31
1,1992,"MDT",740,2888,31
1,2000,"CAE",424,3207,31
1,2000,"CAK",88,268,31
1,2000,"CDV",62,437,31
1,2000,"CHA",88,248,31
1,1993,"BHM",1287,7003,31
1,1988,"TVL",84,357,31
1,1988,"TYS",786,8830,31
1,1988,"UCA",87,1762,31
1,1988,"VPS",104,1068,31
1,1988,"WRG",62,333,31
1,1988,"YAK",55,347,31
1,1988,"YAP",18,454,31
1,1988,"YKM",56,242,31
1,1988,"YUM",174,958,31
1,1995,"ITH",93,910,31
1,1995,"JAC",157,1069,31
1,1995,"JAN",399,1445,31
1,1995,"JAX",2204,16101,31
1,1995,"JFK",3807,42880,31
1,1995,"JNU",239,1703,31
1,1995,"KOA",62,763,31
1,1995,"KSM",8,28,31
1,1995,"KTN",186,1283,31
1,1990,"GRR",832,4305,31
1,1990,"GSO",1629,13544,31
1,1990,"GSP",818,5339,31
1,1990,"GTF",272,705,31
1,1990,"GUC",95,737,31
1,1990,"GUM",222,1704,31
1,1990,"HDN",167,1381,31
1,2000,"EUG",185,1868,31
1,2000,"EWR",10305,108106,31
1,1995,"LNK",246,1824,31
1,2001,"AVL",124,312,31
1,2001,"AVP",124,74,31
1,2001,"AZO",240,2848,31
1,2001,"BDL",3154,21495,31
1,2001,"BET",93,1508,31
1,2001,"BFL",186,1458,31
1,2001,"BGM",62,756,31
1,2001,"BGR",261,6188,31
1,2001,"BHM",1692,7776,31
1,1988,"BDL",2520,24243,31
1,1988,"BET",51,153,31
1,1988,"BFL",143,1776,31
1,1988,"BGM",180,848,31
1,1988,"BGR",178,1463,31
1,1988,"BHM",1453,14452,31
1,1988,"BIL",574,4007,31
1,1988,"BIS",320,3771,31
1,1988,"BLI",82,374,31
1,1992,"DLH",144,230,31
1,1992,"DRO",58,-4,31
1,1992,"DSM",916,4239,31
1,1990,"LBB",796,4561,31
1,1990,"LEX",505,3498,31
1,1990,"LFT",96,-233,31
1,1990,"LGA",9113,108402,31
1,1990,"LGB",1163,7280,31
1,1990,"LIH",31,471,31
1,2004,"MCO",8506,54380,31
1,2004,"MDT",991,11529,31
1,2004,"MDW",7597,84648,31
1,1990,"ANC",1020,14893,31
1,1990,"ATL",22313,270655,31
1,1990,"ATW",60,-659,31
1,1990,"AUS",2410,12892,31
1,1990,"AVL",178,1348,31
1,1990,"AVP",235,2652,31
1,1990,"AZO",277,1567,31
1,1990,"BDL",2417,19516,31
1,1990,"BET",48,678,31
1,1990,"BFL",60,829,31
1,1990,"BGM",177,1043,31
1,1990,"BGR",179,2279,31
1,1990,"BHM",1519,8916,31
1,1990,"BIL",449,716,31
1,1988,"PNS",594,8500,31
1,1988,"PSC",168,1966,31
1,1988,"PSG",61,364,31
1,1988,"PSP",591,7172,31
1,1988,"PUB",120,1081,31
1,1988,"PVD",926,10404,31
1,1988,"PWM",535,4805,31
1,1988,"RAP",285,2267,31
1,1988,"RDD",18,623,31
1,1988,"RDM",56,665,31
1,1988,"RDU",5225,42749,31
1,1992,"IAD",3911,9838,31
1,1992,"IAH",7535,48358,31
1,1992,"ICT",944,1257,31
1,1992,"IDA",121,1824,31
1,1992,"ILM",204,342,31
1,1992,"IND",3894,22622,31
1,1992,"ISO",56,64,31
1,1992,"ISP",423,1379,31
1,1992,"ITH",90,1050,31
1,1992,"JAC",180,871,31
1,1992,"JAN",629,3743,31
1,1992,"JAX",1510,8505,31
1,1992,"JFK",3233,23982,31
1,1992,"JNU",295,1934,31
1,1990,"CRP",476,2845,31
1,1990,"CRW",343,1972,31
1,1990,"CSG",93,956,31
1,2000,"AZO",91,246,31
1,2000,"BDL",3028,21520,31
1,2000,"BET",86,1147,31
1,2000,"BGM",93,627,31
1,2000,"BHM",1727,8316,31
1,2000,"BIL",247,720,31
1,2000,"BIS",119,-137,31
1,2000,"BNA",4703,27736,31
1,1993,"ANC",1163,10908,31
1,1993,"ANI",14,359,31
1,2000,"BTR",398,1942,31
1,2000,"BTV",217,2603,31
1,2000,"BUF",1465,17805,31
1,1993,"AVP",242,-195,31
1,1992,"MCO",7104,27391,31
1,1993,"BDL",2201,7695,31
1,1993,"BET",68,1580,31
1,1993,"BFL",61,1199,31
1,1993,"BGM",114,-514,31
1,1993,"BGR",210,2560,31
1,1988,"TUS",1694,18466,31
1,1990,"EYW",174,784,31
1,1990,"FAI",247,3925,31
1,1990,"FAR",231,1121,31
1,1990,"FAT",522,3992,31
1,1990,"FAY",263,1564,31
1,1990,"FCA",57,544,31
1,1990,"FLG",191,1626,31
1,1990,"FLL",3467,40027,31
1,1990,"FNT",89,488,31
1,1990,"FSD",489,1893,31
1,1990,"FWA",368,2881,31
1,1990,"GCN",112,710,31
1,1990,"GEG",871,5944,31
1,1990,"GFK",85,541,31
1,1990,"GJT",115,631,31
1,1990,"GNV",292,3864,31
1,1990,"GPT",87,106,31
1,1990,"GRB",254,1417,31
1,2004,"SMX",185,-425,31
1,2004,"SNA",4084,9260,31
1,2004,"SPS",188,262,31
1,1995,"LAX",14961,234342,31
1,1995,"LBB",512,4328,31
1,1995,"LEX",430,2485,31
1,1995,"LGA",8867,59118,31
1,1990,"HLN",89,686,31
1,1990,"HNL",1457,10046,31
1,1993,"CRP",618,2713,31
1,1993,"CRW",207,414,31
1,1994,"ABE",589,3514,31
1,1994,"ABQ",2971,14663,31
1,1994,"ACY",59,289,31
1,1994,"ADQ",24,433,31
1,1994,"AGS",302,2577,31
1,1994,"AKN",13,148,31
1,1994,"ALB",1034,9312,31
1,1994,"AMA",346,2091,31
1,1994,"ANC",1176,13119,31
1,1994,"ANI",11,63,31
1,1994,"ATL",19357,190554,31
1,1993,"DSM",764,4000,31
1,1993,"DTW",10850,31793,31
1,1993,"EGE",149,2204,31
1,1993,"ELM",113,-252,31
1,1993,"ELP",2212,14503,31
1,1993,"ERI",124,105,31
1,1993,"EUG",235,3019,31
1,1993,"EVV",91,-178,31
1,1993,"EWR",9502,66190,31
1,1992,"DTW",10017,66650,31
1,1992,"EGE",93,709,31
1,1992,"ELM",116,1043,31
1,1992,"ELP",2141,5577,31
1,1992,"ERI",152,1444,31
1,1992,"EUG",237,1155,31
1,1990,"ABE",505,3638,31
1,2004,"BRO",142,201,31
1,2004,"BRW",62,349,31
1,2004,"MEI",93,-24,31
1,2004,"MEM",4154,24137,31
1,2004,"MFE",266,1911,31
1,2004,"MFR",362,1528,31
1,1992,"SJC",3414,-1787,31
1,1992,"SJU",1588,5202,31
1,1992,"SLC",5825,53386,31
1,1992,"SMF",2437,9120,31
1,1992,"SNA",2294,1219,31
1,1992,"SPI",29,-7,31
1,2004,"MLI",325,4810,31
1,2004,"MLU",303,-1106,31
1,2004,"MOB",438,681,31
1,1992,"STL",10483,46838,31
1,1990,"BIS",349,610,31
1,1990,"BLI",164,2225,31
1,1990,"BNA",4481,6797,31
1,1990,"BOI",545,4875,31
1,1990,"BOS",7832,83338,31
1,1990,"BTM",61,306,31
1,1990,"BTR",748,6215,31
1,1990,"BTV",616,5730,31
1,1990,"BUF",2207,22042,31
1,1990,"BUR",1723,10094,31
1,1990,"BWI",6020,43582,31
1,1988,"RIC",1561,19686,31
1,1988,"RNO",1771,23066,31
1,1988,"ROA",409,6737,31
1,1988,"ROC",1915,18143,31
1,1988,"ROR",34,117,31
1,1988,"RST",223,1938,31
1,1988,"RSW",1422,29331,31
1,1988,"SAN",5070,53465,31
1,1988,"SAT",2649,26056,31
1,1988,"SAV",954,9862,31
1,1988,"SBA",312,3600,31
1,2000,"AMA",402,2126,31
1,2000,"ANC",1492,16657,31
1,2000,"ATL",22818,125946,31
1,2000,"AUS",3486,18373,31
1,2000,"AVL",124,445,31
1,2000,"AVP",155,1382,31
1,2001,"GGG",155,768,31
1,2001,"GPT",70,228,31
1,2001,"GRB",354,1893,31
1,2001,"GRR",944,10592,31
1,1993,"ADQ",23,225,31
1,1990,"DAY",3090,15197,31
1,1990,"DCA",7458,49261,31
1,1990,"DEN",11671,63882,31
1,1990,"DET",529,3210,31
1,1990,"DFW",20430,145352,31
1,1990,"DLH",145,-300,31
1,1990,"DRO",82,1160,31
1,1990,"DSM",885,5216,31
1,1990,"DTW",10563,68336,31
1,1993,"AZO",202,-171,31
1,2000,"BWI",7095,71914,31
1,2000,"BZN",165,1219,31
1,1988,"TPA",5134,83934,31
1,1988,"TRI",266,3984,31
1,1988,"TUL",2124,13718,31
1,1990,"EWR",9579,83277,31
1,1995,"HRL",523,6308,31
1,1995,"HSV",629,5043,31
1,1995,"HTS",120,773,31
1,1995,"HVN",93,501,31
1,1995,"IAD",2661,19525,31
1,1995,"IAH",10397,93540,31
1,1995,"ICT",632,3964,31
1,1995,"IDA",92,469,31
1,1995,"ILM",182,1705,31
1,1995,"IND",3417,29166,31
1,1995,"ISP",308,2486,31
1,2004,"SHV",762,1899,31
1,2004,"SIT",93,876,31
1,2004,"SJC",5274,24612,31
1,2004,"SJT",227,344,31
1,2004,"SJU",2378,21931,31
1,2004,"SLC",11270,134684,31
1,2004,"SMF",3919,25737,31
